DEL.;COMPETICIÓN;CATEGORÍA;FASE;GRUPO;JORNADA;CLUB L.;EQ. LOCAL;PTS. L.;CLUB V.;EQ. VISITANTE;PTS. V.;FECHA;HORA;ESTADO;INFORME;CAMPO;DIRECCIÓN;POBLACIÓN;AFORO;VESTUARIOS;IDENTIFICADOR;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 3;7;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;52;SANTA MARIA DEL PILAR C.D.   ;SANTA MARIA DEL PILAR "A";44;22/11/2025;09:15;Terminado;SÍ;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;319952;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 2ª DIVISION;GRUPO 4;10;DISTRITO CARABANCHEL C.D.E.;DISTRITO CARABANCHEL A;75;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;50;22/11/2025;14:45;Terminado;NO;FRANCISCO FERNANDEZ OCHOA, PABELLON;DE LAS 14 OLIVAS, S/N;Madrid;0;NO;313490;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 3ª DIVISION;GRUPO 3;7;CLUB DEPORTIVO NILE;CLUB DEPORTIVO NILE;43;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;78;22/11/2025;19:00;Terminado;NO;NILE, PABELLON COLEGIO;CASTILLA LA VIEJA, 18;Fuenlabrada;0;NO;319266;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 1;9;TRIPLE CHAMBERI;TRIPLE CHAMBERI JUNIOR A;96;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;46;22/11/2025;19:00;Terminado;NO;SANTO ANGEL DE LA GUARDA, PABELLON COLEGIO;EDUARDO TERAN, 8;Madrid;50;SÍ;314341;
FBM;COMPETICIONES FEDERADAS FBM;Sub 22 Masc. PLATA;PRIMERA FASE;GRUPO 3;6;COLEGIO ABACO;ABACO;50;VALLEKAS BASKET CDE;VALLEKAS BASKET;81;23/11/2025;09:00;Terminado;NO;ABACO, PABELLON COLEGIO;AVDA. DE LA PESETA, 8;Madrid;0;SÍ;325571;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 2ª DIVISION;GRUPO 4;9;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;68;ARCANGEL RAFAEL;ARCANGEL RAFAEL;48;23/11/2025;09:15;Terminado;SÍ;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;313482;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Masc BRONCE;PRIMERA FASE;GRUPO 1;5;VALLEKAS BASKET CDE;VALLEKAS BASKET;49;MORATALAZ C.B.;C.B. MORATALAZ;69;23/11/2025;16:00;Terminado;NO;ENTREVIAS, PDVO. MPAL.;RONDA DEL SUR esquina STA. RAFAELA MARIA DEL ;Madrid;0;NO;343095;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Fem PLATA;PRIMERA FASE;GRUPO 3;5;IRLANDESAS;IRLANDESAS;42;VALLEKAS BASKET CDE;VALLEKAS BASKET;18;23/11/2025;18:00;Terminado;SÍ;IRLANDESAS, COLEGIO (Semicubierto);BEGONIA, 257;Alcobendas;0;NO;344446;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 3ª DIVISION;GRUPO 3;8;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;64;MORALZARZAL BULLS CDE;MORALZARZAL BULLS;44;29/11/2025;09:15;Terminado;NO;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;319269;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 3;8;BALONCESTO NAVALCARNERO;CB NAVALCARNERO B;80;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;34;29/11/2025;11:15;Terminado;NO;LA ESTACION, PABELLON MUNICIPAL;RIO EBRO, S/N;Navalcarnero;350;SÍ;319958;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Fem PLATA;PRIMERA FASE;GRUPO 3;6;VALLEKAS BASKET CDE;VALLEKAS BASKET;35;LICEO FRANCES;LICEO FRANCES;60;30/11/2025;16:00;Terminado;SÍ;ENTREVIAS, PDVO. MPAL.;RONDA DEL SUR esquina STA. RAFAELA MARIA DEL ;Madrid;0;NO;344451;
FBM;COMPETICIONES FEDERADAS FBM;Sub 22 Masc. PLATA;PRIMERA FASE;GRUPO 3;7;VALLEKAS BASKET CDE;VALLEKAS BASKET;66;DISTRITO CARABANCHEL C.D.E.;DISTRITO CARABANCHEL;74;30/11/2025;17:00;Terminado;NO;WILFRED AGBONAVBARE, PABELLON;C/ REGUERA DE TOMATEROS, 39;Madrid;0;NO;325577;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Masc BRONCE;PRIMERA FASE;GRUPO 1;6;ESCOLAPIOS DE ALCALA C.D.C.;ESCOLAPIOS DE ALCALA C.D.C.;80;VALLEKAS BASKET CDE;VALLEKAS BASKET;67;30/11/2025;20:00;Terminado;SÍ;ESCOLAPIOS DE ALCALA, COLEGIO;AVDA. LOPE DE FIGUEROA, 27;Alcalá de Henares;0;NO;343103;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 3;9;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;48;HUMANITAS C.D.E.;HUMANITAS C.D.E. VERDE;79;13/12/2025;09:15;Terminado;NO;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;319964;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 3ª DIVISION;GRUPO 3;9;BALONCESTO DAGANZO C. D. E.;BALONCESTO DAGANZO 11 ISUZU REVEIN;28;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;47;13/12/2025;10:00;Terminado;NO;DAGANZO, PABELLON MUNICIPAL;CALLE DON QUIJOTE DE LA MANCHA, 1;Daganzo de Arriba;0;NO;319279;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 1;11;TORREJON DE LA CALZADA EMB;EMB TORREJON DE LA CALZADA A;54;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;36;13/12/2025;10:30;Terminado;NO;TORREJON DE LA CALZADA, PABELLON;CAMINO DE CUBAS, S/N;Torrejón de la Calzada;100;SÍ;314354;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 2ª DIVISION;GRUPO 4;11;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;67;OLIMPICO ALCOBENDAS C.D.E.;OLIMPICO ALCOBENDAS BLANCO;41;14/12/2025;09:15;Terminado;NO;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;313493;
FBM;COMPETICIONES FEDERADAS FBM;2ª Div Aut Masc BRONCE;PRIMERA FASE;GRUPO 1;7;VALLEKAS BASKET CDE;VALLEKAS BASKET;80;SALESIANOS LOYOLA ARANJUEZ;LOYOLA ARANJUEZ;52;14/12/2025;16:00;Terminado;NO;ENTREVIAS, PDVO. MPAL.;RONDA DEL SUR esquina STA. RAFAELA MARIA DEL ;Madrid;0;NO;343106;
